"RootFolder","File","RelativePath","DateTime","DeleteFlag","animal","empty","person","vehicle","Species","Unidentifiable","Dark","No_Adults_Seq","No_Juv_Seq","Date","Individual","time_diff","keep_row","Trap"
"Imagestoclassify","Q35__2023-01-24__08-15-45(1).JPG","BrendanAltingMLDP2023Images\Q35",2023-01-24 08:15:45,"false","false","false","false","false","Quoll","true","false",0,0,2023-01-24,"Unidentifiable",450572,TRUE,"Q35"
"Imagestoclassify","Q30__2023-01-24__23-59-50(1).JPG","BrendanAltingMLDP2023Images\Q30",2023-01-24 23:59:50,"false","false","false","false","false","Quoll","false","false",0,0,2023-01-24,"QU2118",791073,TRUE,"Q30"
"Imagestoclassify","Q30__2023-01-25__00-58-46(1).JPG","BrendanAltingMLDP2023Images\Q30",2023-01-25 00:58:46,"false","false","false","false","false","Quoll","false","false",0,0,2023-01-25,"QU2008",0,TRUE,"Q30"
"Imagestoclassify","Q30__2023-01-25__01-23-19(1).JPG","BrendanAltingMLDP2023Images\Q30",2023-01-25 01:23:19,"false","false","false","false","false","Quoll","false","false",0,0,2023-01-25,"QU2008",1427,TRUE,"Q30"
"Imagestoclassify","Q30__2023-01-25__03-46-01(1).JPG","BrendanAltingMLDP2023Images\Q30",2023-01-25 03:46:01,"false","false","false","false","false","Quoll","false","false",0,0,2023-01-25,"QU2008",8459,TRUE,"Q30"
"Imagestoclassify","Q12__2023-01-25__06-21-22(1).JPG","BrendanAltingMLDP2023Images\Q12",2023-01-25 06:21:22,"false","false","false","false","false","Quoll","false","false",0,0,2023-01-25,"QU2103",1033759,TRUE,"Q12"
"Imagestoclassify","Q6__2023-01-25__07-24-38(1).JPG","BrendanAltingMLDP2023Images\Q6",2023-01-25 07:24:38,"false","false","false","false","false","Quoll","false","false",0,0,2023-01-25,"QU2010",0,TRUE,"Q6"
"Imagestoclassify","Q30__2023-01-25__21-33-00(1).JPG","BrendanAltingMLDP2023Images\Q30",2023-01-25 21:33:00,"false","false","false","false","false","Quoll","false","false",0,0,2023-01-25,"QU2118",77453,TRUE,"Q30"
"Imagestoclassify","Q17__2023-01-25__22-20-59(1).JPG","BrendanAltingMLDP2023Images\Q17",2023-01-25 22:20:59,"false","false","false","false","false","Quoll","false","false",0,0,2023-01-25,"QU2002",1030959,TRUE,"Q17"
"Imagestoclassify","Q22__2022-01-25__23-29-24(1).JPG","BrendanAltingMLDP2023Images\Q22",2023-01-25 23:29:24,"false","false","false","false","false","Quoll","false","false",0,0,2023-01-25,"QU2108",226851,TRUE,"Q22"
"Imagestoclassify","Q17__2023-01-26__01-40-41(1).JPG","BrendanAltingMLDP2023Images\Q17",2023-01-26 01:40:41,"false","false","false","false","false","Quoll","false","false",0,0,2023-01-26,"QU2002",11952,TRUE,"Q17"
"Imagestoclassify","Q24__2023-01-26__23-57-20(1).JPG","BrendanAltingMLDP2023Images\Q24",2023-01-26 23:57:20,"false","false","false","false","false","Quoll","false","false",0,0,2023-01-26,"QU2202",836037,TRUE,"Q24"
"Imagestoclassify","Q17__2023-01-27__03-43-32(1).JPG","BrendanAltingMLDP2023Images\Q17",2023-01-27 03:43:32,"false","false","false","false","false","Quoll","false","false",0,0,2023-01-27,"QU2002",93762,TRUE,"Q17"
"Imagestoclassify","Q22__2022-01-27__06-14-22(1).JPG","BrendanAltingMLDP2023Images\Q22",2023-01-27 06:14:22,"false","false","false","false","false","Quoll","false","false",0,0,2023-01-27,"QU2202",22618,TRUE,"Q22"
"Imagestoclassify","Q30__2023-01-27__07-13-22(1).JPG","BrendanAltingMLDP2023Images\Q30",2023-01-27 07:13:22,"false","false","false","false","false","Quoll","false","false",0,0,2023-01-27,"QU2006",0,TRUE,"Q30"
"Imagestoclassify","Q24__2023-01-27__20-20-16(1).JPG","BrendanAltingMLDP2023Images\Q24",2023-01-27 20:20:16,"false","false","false","false","false","Quoll","false","false",0,0,2023-01-27,"QU2116",0,TRUE,"Q24"
"Imagestoclassify","Q31__2023-01-28__03-08-33(1).JPG","BrendanAltingMLDP2023Images\Q31",2023-01-28 03:08:33,"false","false","false","false","false","Quoll","false","false",0,0,2023-01-28,"Unidentifiable",327166,TRUE,"Q31"
"Imagestoclassify","Q31__2023-01-28__03-08-34(5).JPG","BrendanAltingMLDP2023Images\Q31",2023-01-28 03:08:34,"false","false","false","false","false","Quoll","false","false",0,0,2023-01-28,"QU2008",256778,TRUE,"Q31"
"Imagestoclassify","Q30__2023-01-28__07-08-52(1).JPG","BrendanAltingMLDP2023Images\Q30",2023-01-28 07:08:52,"false","false","false","false","false","Quoll","false","false",0,0,2023-01-28,"QU2118",207187,TRUE,"Q30"
"Imagestoclassify","Q26__2023-01-28__18-02-30(1).JPG","BrendanAltingMLDP2023Images\Q26",2023-01-28 18:02:30,"false","false","false","false","false","Quoll","false","false",0,0,2023-01-28,"QU2005",0,TRUE,"Q26"
"Imagestoclassify","Q12__2023-01-29__02-11-55(1).JPG","BrendanAltingMLDP2023Images\Q12",2023-01-29 02:11:55,"false","false","false","false","false","Quoll","false","false",0,0,2023-01-29,"QU2103",330553,TRUE,"Q12"
"Imagestoclassify","Q15__2023-01-30__01-59-40(1).JPG","BrendanAltingMLDP2023Images\Q15",2023-01-30 01:59:40,"false","false","false","false","false","Quoll","false","false",0,0,2023-01-30,"QM1901",3047246,TRUE,"Q15"
"Imagestoclassify","Q15__2023-01-30__06-05-53(1).JPG","BrendanAltingMLDP2023Images\Q15",2023-01-30 06:05:53,"false","false","false","false","false","Quoll","false","false",0,0,2023-01-30,"QU2105",1307151,TRUE,"Q15"
"Imagestoclassify","Q22__2022-01-30__09-45-59(1).JPG","BrendanAltingMLDP2023Images\Q22",2023-01-30 09:45:59,"false","false","false","false","false","Quoll","false","false",0,0,2023-01-30,"QU2108",382412,TRUE,"Q22"
"Imagestoclassify","Q27__2023-01-30__21-45-05(1).JPG","BrendanAltingMLDP2023Images\Q27",2023-01-30 21:45:05,"false","false","false","false","false","Quoll","false","false",0,0,2023-01-30,"QU2118",225350,TRUE,"Q27"
"Imagestoclassify","Q27__2023-01-30__22-08-39(1).JPG","BrendanAltingMLDP2023Images\Q27",2023-01-30 22:08:39,"false","false","false","false","false","Quoll","false","false",0,0,2023-01-30,"QU2118",1238,TRUE,"Q27"
"Imagestoclassify","Q31__2023-01-31__07-09-33(1).JPG","BrendanAltingMLDP2023Images\Q31",2023-01-31 07:09:33,"false","false","false","false","false","Quoll","false","false",0,0,2023-01-31,"QU2204",0,TRUE,"Q31"
"Imagestoclassify","Q31__2023-01-31__07-09-38(15).JPG","BrendanAltingMLDP2023Images\Q31",2023-01-31 07:09:38,"false","false","false","false","false","Quoll","false","false",0,0,2023-01-31,"Unidentifiable",273664,TRUE,"Q31"
"Imagestoclassify","Q18__2023-02-01__05-54-23(1).JPG","BrendanAltingMLDP2023Images\Q18",2023-02-01 05:54:23,"false","false","false","false","false","Quoll","false","false",0,0,2023-02-01,"QU2111",0,TRUE,"Q18"
"Imagestoclassify","Q17__2023-02-01__08-35-30(1).JPG","BrendanAltingMLDP2023Images\Q17",2023-02-01 08:35:30,"false","false","false","false","false","Quoll","false","false",0,0,2023-02-01,"QU2109",1409931,TRUE,"Q17"
"Imagestoclassify","Q26__2023-02-01__12-28-47(2).JPG","BrendanAltingMLDP2023Images\Q26",2023-02-01 12:28:47,"false","false","false","false","false","Quoll","false","false",0,0,2023-02-01,"QU2117",1276091,TRUE,"Q26"
"Imagestoclassify","Q22__2022-02-01__19-12-25(1).JPG","BrendanAltingMLDP2023Images\Q22",2023-02-01 19:12:25,"false","false","false","false","false","Quoll","false","false",0,0,2023-02-01,"QU2004",1372818,TRUE,"Q22"
"Imagestoclassify","Q22__2022-02-01__22-08-59(1).JPG","BrendanAltingMLDP2023Images\Q22",2023-02-01 22:08:59,"false","false","false","false","false","Quoll","false","false",0,0,2023-02-01,"QU2004",10293,TRUE,"Q22"
"Imagestoclassify","Q22__2022-02-02__03-32-33(1).JPG","BrendanAltingMLDP2023Images\Q22",2023-02-02 03:32:33,"false","false","false","false","false","Quoll","false","false",0,0,2023-02-02,"QU2113",1576319,TRUE,"Q22"
"Imagestoclassify","PS12__CamA__2023-02-03__05-27-02(2).JPG","BrendanAltingMLDP2023Images\PS12\CamA",2023-02-03 05:27:02,"false","true","false","false","false","Quoll","false","false",0,0,2023-02-03,"QU2102",0,TRUE,"PS12"
"Imagestoclassify","PS14__CamA__2023-02-03__07-42-57(1).JPG","BrendanAltingMLDP2023Images\PS14\CamA",2023-02-03 07:42:57,"false","true","false","false","false","Quoll","false","false",0,0,2023-02-03,"QU2011",0,TRUE,"PS14"
"Imagestoclassify","Q31__2023-02-03__19-17-32(1).JPG","BrendanAltingMLDP2023Images\Q31",2023-02-03 19:17:32,"false","false","false","false","false","Quoll","false","false",0,0,2023-02-03,"QU2204",302866,TRUE,"Q31"
"Imagestoclassify","Q33__2023-02-06__02-33-47(1).JPG","BrendanAltingMLDP2023Images\Q33",2023-02-06 02:33:47,"false","false","false","false","false","Quoll","false","false",0,0,2023-02-06,"QU2122",0,TRUE,"Q33"
"Imagestoclassify","Q33__2023-02-06__02-38-41(68).JPG","BrendanAltingMLDP2023Images\Q33",2023-02-06 02:38:41,"false","false","false","false","false","Quoll","false","false",0,0,2023-02-06,"Unidentifiable",502139,TRUE,"Q33"
"Imagestoclassify","Q10__2023-02-06__16-51-30(1).JPG","BrendanAltingMLDP2023Images\Q10",2023-02-06 16:51:30,"false","false","false","false","false","Quoll","false","false",0,0,2023-02-06,"QM1901",658264,TRUE,"Q10"
"Imagestoclassify","Q10__2023-02-06__16-52-31(31).JPG","BrendanAltingMLDP2023Images\Q10",2023-02-06 16:52:31,"false","false","false","false","false","Quoll","false","false",0,0,2023-02-06,"Unidentifiable",51229,TRUE,"Q10"
"Imagestoclassify","PS14__CamA__2023-02-07__04-25-15(1).JPG","BrendanAltingMLDP2023Images\PS14\CamA",2023-02-07 04:25:15,"false","true","false","false","false","Quoll","false","false",0,0,2023-02-07,"QU2126",0,TRUE,"PS14"
"Imagestoclassify","Q17__2023-02-08__06-21-33(1).JPG","BrendanAltingMLDP2023Images\Q17",2023-02-08 06:21:33,"false","false","false","false","false","Quoll","false","false",0,0,2023-02-08,"QU2109",596462,TRUE,"Q17"
"Imagestoclassify","Q8__2023-02-09__04-15-44(1).JPG","BrendanAltingMLDP2023Images\Q8",2023-02-09 04:15:44,"false","false","false","false","false","Quoll","false","false",0,0,2023-02-09,"QU2125",0,TRUE,"Q8"
"Imagestoclassify","Q17__2023-02-09__19-04-38(1).JPG","BrendanAltingMLDP2023Images\Q17",2023-02-09 19:04:38,"false","false","false","false","false","Quoll","false","false",0,0,2023-02-09,"QU2002",1178449,TRUE,"Q17"
"Imagestoclassify","Q12__2023-02-10__05-04-57(1).JPG","BrendanAltingMLDP2023Images\Q12",2023-02-10 05:04:57,"false","false","false","false","false","Quoll","false","false",0,0,2023-02-10,"QU2103",1046714,TRUE,"Q12"
"Imagestoclassify","Q35__2023-02-10__07-54-14(1).JPG","BrendanAltingMLDP2023Images\Q35",2023-02-10 07:54:14,"false","false","false","false","false","Quoll","false","false",0,0,2023-02-10,"QU2121",1846254,TRUE,"Q35"
"Imagestoclassify","Q18__2023-02-11__00-41-06(1).JPG","BrendanAltingMLDP2023Images\Q18",2023-02-11 00:41:06,"false","false","false","false","false","Quoll","false","false",0,0,2023-02-11,"QU2107",1820818,TRUE,"Q18"
"Imagestoclassify","Q17__2023-02-11__03-08-42(1).JPG","BrendanAltingMLDP2023Images\Q17",2023-02-11 03:08:42,"false","false","false","false","false","Quoll","false","false",0,0,2023-02-11,"QU2002",115413,TRUE,"Q17"
"Imagestoclassify","Q22__2022-02-12__06-47-08(1).JPG","BrendanAltingMLDP2023Images\Q22",2023-02-12 06:47:08,"false","false","false","false","false","Quoll","false","false",0,0,2023-02-12,"QU2004",894819,TRUE,"Q22"
"Imagestoclassify","PS2__CamB__2023-02-14__21-37-44(1).JPG","BrendanAltingMLDP2023Images\PS2\CamB",2023-02-14 21:37:44,"false","true","false","false","false","Quoll","true","false",0,0,2023-02-14,"Unidentifiable",708312,TRUE,"PS2"
"Imagestoclassify","Q33__2023-02-15__01-08-52(1).JPG","BrendanAltingMLDP2023Images\Q33",2023-02-15 01:08:52,"false","false","false","false","false","Quoll","false","false",0,0,2023-02-15,"QU2122",772213,TRUE,"Q33"
"Imagestoclassify","Q10__2023-02-15__07-30-56(1).JPG","BrendanAltingMLDP2023Images\Q10",2023-02-15 07:30:56,"false","false","false","false","false","Quoll","false","false",0,0,2023-02-15,"QU2201",0,TRUE,"Q10"
"Imagestoclassify","Q10__2023-02-15__07-31-50(35).JPG","BrendanAltingMLDP2023Images\Q10",2023-02-15 07:31:50,"false","false","false","false","false","Quoll","false","false",0,0,2023-02-15,"Unidentifiable",35594,TRUE,"Q10"
"Imagestoclassify","Q20__2023-02-15__19-40-37(1).JPG","BrendanAltingMLDP2023Images\Q20",2023-02-15 19:40:37,"false","false","false","false","false","Quoll","false","false",0,0,2023-02-15,"QU2106",0,TRUE,"Q20"
"Imagestoclassify","Q18__2023-02-15__23-46-12(1).JPG","BrendanAltingMLDP2023Images\Q18",2023-02-15 23:46:12,"false","false","false","false","false","Quoll","false","false",0,0,2023-02-15,"QU2109",667409,TRUE,"Q18"
"Imagestoclassify","Q15__2023-02-16__00-48-03(1).JPG","BrendanAltingMLDP2023Images\Q15",2023-02-16 00:48:03,"false","false","false","false","false","Quoll","false","false",0,0,2023-02-16,"QU2106",18137,TRUE,"Q15"
